Arrest,Count,Parent,
TOTALUnitedStatesArrests,10310960,Origin,
"Murder and nonnegligent manslaughter",11970,Origin,
"Rape",25205,Origin,
"Robbery",88128,Origin,
"Aggravated assault",395800,Origin,
"Burglary",178611 ,Origin,
"Larceny-theft",887622,Origin,
"Motor vehicle theft",91676,Origin,
"Arson",9387,Origin,
"Violent crime",521103,Origin,
"Property crime",1167296,Origin,
"Other assaults",1063535,Origin,
"Forgery and counterfeiting",50072,Origin,
"Fraud",119951,Origin,
"Embezzlement",14765,Origin,
"Stolen property; buying, receiving, possessing",93161,Origin,
"Vandalism",179828,Origin,
"Weapons; carrying, possessing, etc.",168403,Origin,
"Prostitution and commercialized vice",31147,Origin,
"Sex offenses (except forcible rape and prostitution)",46937,Origin,
"Drug abuse violations",1654282,Origin,
"Gambling",3323,Origin,
"Offenses against the family and children",87475,Origin,
"Driving under the influence",1001329,Origin,
"Liquor laws",173152,Origin,
"Drunkenness",328772,Origin,
"Disorderly conduct",329152 ,Origin,
"Vagrancy",23546,Origin,
"All other offenses",3231700,Origin,
"Suspicion",564,Origin,
"Curfew and loitering law violations",22031,Origin,
Origin,,,
