Arrest,United_States_total,Northeast,Midwest,South,West,,,
Total_Sale_Manufacturing,17.7,22.1,19.3,16.4,16.1,,,
Heroin_or_cocaine_and_their_derivatives_Sale_Manufacturing,7.7,13.4,5.6,7.5,5.8,,,
Marijuana_Sale_Manufacturing,5.5,5.9,8.2,4.3,5.4,,,
Synthetic_or_manufactured_drugs_Sale_Manufacturing,1.5,1.2,1.2,2.6,0.6,,,_
Other_dangerous_nonnarcotic_drugs_Sale_Manufacturing,3,1.5,4.4,1.9,4.3,,,
Total_Possession,82.3,77.9,80.7,83.6,83.9,,,
Heroin_or_cocaine_and_their_derivatives_Possession,20.1,20.7,12.5,21,22.3,,,
Marijuana_Possession,44.3,46.5,51.9,50.2,33.2,,,
Synthetic_or_manufactured_drugs_Possession,3.3,2.7,3.8,4.2,2.5,,,
Other_dangerous_nonnarcotic_drugs_Possession,14.6,8,12.5,8.2,25.9,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,_,,,,,,
