Arrest,UnitedStatesTotal,Northeast,Midwest,South,West,,,
Total_Sale_Manufacturing,16.9,21.4,17.8,16.9,13.8,,,
Heroin_or_cocaine_and_their_derivatives_Sale_Manufacturing,5.8,12,3.7,5.2,3.9,,,
Marijuana_Sale_Manufacturing,5.2,5.6,8.1,4.5,4.3,,,
Synthetic_or_manufactured_drugs_Sale_Manufacturing,1.9,1.4,1.2,3.5,0.5,,,_
Other_dangerous_nonnarcotic_drugs_Sale_Manufacturing,4.1,2.4,4.8,3.8,5.1,,,
Total_Possession,83.1,78.6,82.2,83.1,86.2,,,
Heroin_or_cocaine_and_their_derivatives_Possession,17,18.6,10.1,13.9,24.1,,,
Marijuana_Possession,39.7,44,52,49.6,17.1,,,
Synthetic_or_manufactured_drugs_Possession,4.8,3.6,4.8,7.2,2.5,,,
Other_dangerous_nonnarcotic_drugs_Possession,21.5,12.4,15.2,12.4,42.5,,,
