State,Total all  classes,"Violent
crime","Property
crime","Murder and
nonnegligent
manslaughter",Rape,Robbery,"Aggravated
assault",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,"Other
assaults","Forgery and
counterfeiting",Fraud,Embezzlement,"Stolen
property;
buying,
receiving,
possessing",Vandalism,"Weapons;
carrying,
possessing,
etc.","Prostitution and
commercialized
vice","Sex offenses
(except
rape and
prostitution)","Drug abuse violations",Gambling,"Offenses
against
the family
and
children","Driving
under the
influence","Liquor
laws",Drunkenness,"Disorderly
conduct",Vagrancy,"All other
offenses
(except
traffic)",Suspicion,"Curfew
and
loitering
law
violations"
ALABAMA  ,"126,404","4,761","15,609",214,245,919,"3,383","2,352","12,332",840,85,"13,027",768,"2,103",112,"1,756","1,004","1,585",0,446,"8,217",0,420,"6,391","1,434","5,300","1,815",34,"61,622",0,0
ALASKA,"30,620","2,686","3,763",38,149,367,"2,132",602,"2,392",726,43,"4,943",154,201,54,120,"1,103",387,2,263,"1,046",0,174,"3,148",592,47,843,17,"11,072",0,5
ARIZONA,"256,785","11,628","32,622",281,328,"1,940","9,079","3,883","26,621","1,711",407,"25,198","1,121","2,055",854,"1,087","10,177","3,093",349,"1,386","32,272",2,"2,448","19,200","7,082","11,514","14,723",567,"78,700",54,653
ARKANSAS,"120,240","4,650","12,516",141,238,474,"3,797","1,748","10,118",594,56,"11,688",820,852,49,"1,736","1,544","1,112",136,83,"17,954",6,434,"5,761","1,265","5,035","2,301",303,"51,736",0,259
CALIFORNIA,"1,093,080","110,236","97,247","1,409","2,539","16,670","89,618","35,230","42,468","18,020","1,529","81,812","4,118","6,105",921,"16,227","16,652","28,290","6,418","8,901","219,251",403,268,"127,250","5,948","58,286","3,451","7,290","293,353",1,652
COLORADO,"193,216","7,832","24,136",195,549,"1,166","5,922","2,301","19,199","2,437",199,"16,477",688,"2,243",112,526,"4,843","2,313",376,521,"16,172",7,"2,466","20,353","7,007",144,"6,887",549,"78,790",1,773
CONNECTICUT,"95,709","3,399","12,312",79,212,870,"2,238","1,624","9,834",778,76,"17,370",582,921,140,692,"1,640","1,088",184,360,"8,087",10,"1,363","7,484",96,11,"10,505",41,"29,423",0,1
DELAWARE,"28,742","1,965","5,337",33,77,391,"1,464",688,"4,511",116,22,"6,121",210,"1,348",163,324,755,322,121,107,"3,707",9,185,427,669,323,"1,164",164,"5,289",0,32
DISTRICT OF COLUMBIA,"13,682",185,86,0,2,113,70,0,76,9,1,411,3,3,0,14,35,42,0,20,290,0,2,9,817,49,300,13,"11,403",0,0
FLORIDA,"715,424","34,907","89,456",712,"1,936","5,761","26,498","14,757","66,157","8,295",247,"80,570","1,989","11,207","1,086","1,632","6,129","6,604","1,920","2,862","134,142",123,0,"32,127","10,590",0,0,0,"300,080",0,0
